player,position,team,weight,usd,usd_per_troy_oz,headshot
Nesta Jade Silvera,IDL,Raiders,304,915000,206.3914491954929,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bkxlwccg77a4trgxflfh"
Jonathan Ford,IDL,Packers,338,915000,185.63017915807646,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jlzujzcmm37ovk1rhqxd"
Raequan Williams,IDL,Panthers,303,915000,207.07260909382788,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bbh32r9kv3ikrjxi8irz"
LaBryan Ray,IDL,Panthers,286,915000,219.38112082318125,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/aaxrprqjme4rwnuxe0vh"
David Bada,IDL,Lions,287,795000,189.945680552795,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/p2bmuzlrf4lirnsvqgcc"
Jordan Jackson,IDL,Broncos,294,795000,185.423164349157,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/x8mnvsf25r23yhsqgvlg"
Jalen Redmond,IDL,Vikings,291,795000,187.33474336306585,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/m7axuyrdekuaf7oyqnz3"
Pheldarius Payne,IDL,Texans,275,795000,198.2342193405533,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/m7axuyrdekuaf7oyqnz3"
Byron Cowart,IDL,Bears,293,383400,89.72814268431638,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ai1vyv5bf08robtaxwet"
T.Y. McGill,IDL,49ers,299,383400,87.92757794817626,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/v1rav6esnezg5ggbkwoz"
Kendal Vickers,IDL,Saints,295,302400,70.29168609043988,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/j8xpfahzfgawazl4trkn"
Eli Ankou,IDL,Bills,290,302400,71.50361171268884,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vo3rcoaq6owinjqnlzis"
Matt Dickerson,IDL,Chiefs,292,302400,71.01386094753344,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/swevjtjnkyxxkei5jtsm"
Joe Gaziano,IDL,Jaguars,275,302400,75.40380871519915,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/d8h72spl63o55gx3uyah"
